CELL_LINE_NAME,DRUG_NAME,DRUG_ID,AUC,LN_IC50
CELL-0,Erlotinib-like,718,0.7022245607937027,-0.047319401098677716
CELL-0,Aspirin,370,0.22225148143028495,5.416250787279551
CELL-0,Ethanol,49,0.6684189102977466,3.1443782502509015
CELL-0,Caffeine,911,0.21625219209505608,3.1744732491628795
CELL-0,Ibuprofen,519,0.7374623874372821,1.3765601392877282
CELL-1,Erlotinib-like,718,0.6859064763906565,1.3542320447111227
CELL-1,Aspirin,370,0.8778508226562306,1.9731247759175408
CELL-1,Ethanol,49,0.33267149469838686,1.0011858803855946
CELL-1,Caffeine,911,0.12144784268893932,0.8387032641630028
CELL-1,Ibuprofen,519,0.3056175254750647,0.20823733744161999
CELL-2,Erlotinib-like,718,0.5472428259263783,4.335616933507442
CELL-2,Aspirin,370,0.289153337956356,2.1451276155330623
CELL-2,Ethanol,49,0.19954044684385397,3.3619668660660857
CELL-2,Caffeine,911,0.7854062716387297,-0.5469097456909062
CELL-2,Ibuprofen,519,0.8452950761096676,-0.6433014958608076
CELL-3,Erlotinib-like,718,0.7711129499146246,2.9121756301840525
CELL-3,Aspirin,370,0.36878858752499677,2.0484430758974552
CELL-3,Ethanol,49,0.5200693249997295,2.5422687110314452
CELL-3,Caffeine,911,0.7990962339451011,3.3601106207251172
CELL-3,Ibuprofen,519,0.8237630274352042,2.22713462258478
CELL-4,Erlotinib-like,718,0.16419118022693296,1.903746175493864
CELL-4,Aspirin,370,0.34884002689660487,2.4722314544263475
CELL-4,Ethanol,49,0.924881995736231,1.1403061763501516
CELL-4,Caffeine,911,0.764109475444056,-1.4431362932997498
CELL-4,Ibuprofen,519,0.21039249605716442,0.10424696210679807
CELL-5,Erlotinib-like,718,0.4237661960187741,4.174953170727242
CELL-5,Aspirin,370,0.3502091938952978,1.1869862623287841
CELL-5,Ethanol,49,0.9179221856775411,2.819458648196448
CELL-5,Caffeine,911,0.9076147602954697,1.46706314901951
CELL-5,Ibuprofen,519,0.1561937197872366,0.9707471162647965
CELL-6,Erlotinib-like,718,0.6660529425230011,2.8943664173076
CELL-6,Aspirin,370,0.5899571540990912,3.1506778148659307
CELL-6,Ethanol,49,0.3820418308597282,-0.5292288054209284
CELL-6,Caffeine,911,0.7165972990694887,3.680219272764011
CELL-6,Ibuprofen,519,0.22682862414190552,3.7416347746888583
CELL-7,Erlotinib-like,718,0.7265923759685076,2.497016266711956
CELL-7,Aspirin,370,0.8568077665409859,2.2105560843100136
CELL-7,Ethanol,49,0.2304363814099501,0.16999045601606566
CELL-7,Caffeine,911,0.48549530566779486,4.0988660103431345
CELL-7,Ibuprofen,519,0.6526678060099784,2.1595194994289413
CELL-8,Erlotinib-like,718,0.7425478453236024,2.5348137480591757
CELL-8,Aspirin,370,0.9353493534150404,0.5014590021569008
CELL-8,Ethanol,49,0.8116168965680143,2.226912832770745
CELL-8,Caffeine,911,0.7104880753291929,1.09150398961809
CELL-8,Ibuprofen,519,0.5241579117913595,2.517917607979278
CELL-9,Erlotinib-like,718,0.8900847866679406,2.8230940065736707
CELL-9,Aspirin,370,0.5773486984638719,-0.7985812951000906
CELL-9,Ethanol,49,0.8296769132045848,4.445784286079542
CELL-9,Caffeine,911,0.8054075889868064,1.479617948033045
CELL-9,Ibuprofen,519,0.912884460509226,3.5549088158537794
CELL-10,Erlotinib-like,718,0.8752894718364129,0.05111019480383194
CELL-10,Aspirin,370,0.7819092328703499,2.7157678668708978
CELL-10,Ethanol,49,0.6238054877524934,1.5302148417051837
CELL-10,Caffeine,911,0.4273794755923316,2.7218702405881823
CELL-10,Ibuprofen,519,0.7478459136013295,1.046387304134563
CELL-11,Erlotinib-like,718,0.21288393300464498,2.4422004769154007
CELL-11,Aspirin,370,0.4357609904979489,1.442148920440689
CELL-11,Ethanol,49,0.4952434551491556,0.5800884720961217
CELL-11,Caffeine,911,0.5811882950924958,-1.0469035195736347
CELL-11,Ibuprofen,519,0.456688114555755,3.2423966897703282
CELL-12,Erlotinib-like,718,0.4531227957991646,3.3765087311918434
CELL-12,Aspirin,370,0.7647689013717984,2.5137730864301187
CELL-12,Ethanol,49,0.5808915212097975,1.5990373520700847
CELL-12,Caffeine,911,0.2697256694300584,1.4771419024787649
CELL-12,Ibuprofen,519,0.9389783420259639,3.274675420427676
CELL-13,Erlotinib-like,718,0.2051494667155555,0.5597733210640534
CELL-13,Aspirin,370,0.3194106714888676,0.9718369839229593
CELL-13,Ethanol,49,0.756723897825688,2.069139457669487
CELL-13,Caffeine,911,0.8190637423422346,1.583519493099069
CELL-13,Ibuprofen,519,0.7354482489413228,1.147658543087783
CELL-14,Erlotinib-like,718,0.37700089690827765,0.41140895080978357
CELL-14,Aspirin,370,0.8183716188144712,3.829031883098951
CELL-14,Ethanol,49,0.23158982316139268,-0.8761960651847414
CELL-14,Caffeine,911,0.8813114908522134,0.9943421001453889
CELL-14,Ibuprofen,519,0.7922521617997152,-0.17032526883472565
